"CODE DECLARANT";"CODE DIFFUSEUR";GRID;"CODE EAN 13";"CODE UPC";"IDENTIFIANT PRODUIT DECLARANT";"TYPE SERVICE";"TYPE PRODUIT";"TITRE PRODUIT";"TITRE OEUVRE";"NOM COMPOSITEUR";"NOM AUTEUR";"NOM EDITEUR";"NOM INTERPRETE";LABEL;"DUREE OEUVRE";"DATE DEBUT PERIODE";"DATE FIN PERIODE";"TERRITOIRE VENTE";QUANTITE;"NOM DE L'OFFRE COMMERCIALE";"TYPE MODELE COMMERCIAL";"TYPE CANAL DISTRIBUTION";"TYPE UTILISATION";"PRIX UNITAIRE HT";DEVISE

TESTONLINE;"
					TOL";"
					";"
					";"
					";"
					";"
					MUSI";"
					SINGLE";"
					Propre sur soi";"
					Les Petits Pas";"
					1 Costard pour 2";"
					";"
					";"
					";"
					";"
					2:20";"
					01/12/2013";"
					30/12/2013";"
					FR";"
					1";"
					";"
					FREE";"
					INTERNET";"
					ON_DEM_STRE";"
					0";"
					EURO"
TESTONLINE;"
					TOL";"
					";"
					";"
					";"
					";"
					MUSI";"
					SINGLE";"
					Propre sur soi";"
					Mon Havre";"
					1 Costard pour 2";"
					";"
					";"
					";"
					";"
					4:13";"
					01/12/2013";"
					30/12/2013";"
					FR";"
					1";"
					";"
					FREE";"
					INTERNET";"
					ON_DEM_STRE";"
					0";"
					EURO"
TESTONLINE;"
					TOL";"
					";"
					";"
					";"
					";"
					MUSI";"
					SINGLE";"
					10'Kei";"
					Mercatory";"
					10'Kei";"
					";"
					";"
					";"
					";"
					5:23";"
					01/12/2013";"
					30/12/2013";"
					FR";"
					1";"
					";"
					FREE";"
					INTERNET";"
					ON_DEM_STRE";"
					0";"
					EURO"
TESTONLINE;"
					TOL";"
					";"
					";"
					";"
					";"
					MUSI";"
					SINGLE";"
					Réalités";"
					Député (à la) maire";"
					20 centimes dans l\'eau";"
					";"
					";"
					";"
					";"
					4:44";"
					01/12/2013";"
					30/12/2013";"
					FR";"
					1";"
					";"
					FREE";"
					INTERNET";"
					ON_DEM_STRE";"
					0";"
					EURO"
TESTONLINE;"
					TOL";"
					";"
					";"
					";"
					";"
					MUSI";"
					SINGLE";"
					20 centimes dans l\'eau";"
					L'As";"
					20 centimes dans l\'eau";"
					";"
					";"
					";"
					";"
					4:13";"
					01/12/2013";"
					30/12/2013";"
					FR";"
					1";"
					";"
					FREE";"
					INTERNET";"
					ON_DEM_STRE";"
					0";"
					EURO"
TESTONLINE;"
					TOL";"
					";"
					";"
					";"
					";"
					MUSI";"
					SINGLE";"
					Mais qui a jeté 20 centimes dans l\'eau?";"
					500 euros";"
					20 centimes dans l\'eau";"
					";"
					";"
					";"
					";"
					3:46";"
					01/12/2013";"
					30/12/2013";"
					FR";"
					3";"
					";"
					FREE";"
					INTERNET";"
					ON_DEM_STRE";"
					0";"
					EURO"
TESTONLINE;"
					TOL";"
					";"
					";"
					";"
					";"
					MUSI";"
					SINGLE";"
					Réalités";"
					Pépé";"
					20 centimes dans l\'eau";"
					";"
					";"
					";"
					";"
					4:26";"
					01/12/2013";"
					30/12/2013";"
					FR";"
					1";"
					";"
					FREE";"
					INTERNET";"
					ON_DEM_STRE";"
					0";"
					EURO"
TESTONLINE;"
					TOL";"
					";"
					";"
					";"
					";"
					MUSI";"
					SINGLE";"
					Réalités";"
					Rue Martainville";"
					20 centimes dans l\'eau";"
					";"
					";"
					";"
					";"
					3:25";"
					01/12/2013";"
					30/12/2013";"
					FR";"
					1";"
					";"
					FREE";"
					INTERNET";"
					ON_DEM_STRE";"
					0";"
					EURO"
TESTONLINE;"
					TOL";"
					";"
					";"
					";"
					";"
					MUSI";"
					SINGLE";"
					Mais qui a jeté 20 centimes dans l\'eau?";"
					Le bon de sortie";"
					20 centimes dans l\'eau";"
					";"
					";"
					";"
					";"
					5:27";"
					01/12/2013";"
					30/12/2013";"
					FR";"
					2";"
					";"
					FREE";"
					INTERNET";"
					ON_DEM_STRE";"
					0";"
					EURO"
