"CODE DECLARANT";"CODE DIFFUSEUR";GRID;"CODE EAN 13";"CODE UPC";"IDENTIFIANT PRODUIT DECLARANT";"TYPE SERVICE";"TYPE PRODUIT";"TITRE PRODUIT";"TITRE OEUVRE";"NOM COMPOSITEUR";"NOM AUTEUR";"NOM EDITEUR";"NOM INTERPRETE";LABEL;"DUREE OEUVRE";"DATE DEBUT PERIODE";"DATE FIN PERIODE";"TERRITOIRE VENTE";QUANTITE;"NOM DE L'OFFRE COMMERCIALE";"TYPE MODELE COMMERCIAL";"TYPE CANAL DISTRIBUTION";"TYPE UTILISATION";"PRIX UNITAIRE HT";DEVISE

TESTONLINE;TOL;;;;;MUSI;SINGLE;"Cent Vingt Deux";"Do that shit";"122 Cobayes";;;;;3:15;01/08/2015;30/08/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Cent Vingt Deux";"I'm off the chain";"122 Cobayes";;;;;3:40;01/08/2015;30/08/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Cent Vingt Deux";YSL;"122 Cobayes";;;;;3:38;01/08/2015;30/08/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Mais qui a jeté 20 centimes dans l\'eau?";"500 euros";"20 centimes dans l'eau";;;;;3:46;01/08/2015;30/08/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Mais qui a jeté 20 centimes dans l\'eau?";"Le bon de sortie";"20 centimes dans l'eau";;;;;5:27;01/08/2015;30/08/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Mais qui a jeté 20 centimes dans l\'eau?";"L'ange Gabriel(le)";"20 centimes dans l'eau";;;;;4:38;01/08/2015;30/08/2015;FR;2;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Mais qui a jeté 20 centimes dans l\'eau?";"Les petites annonces";"20 centimes dans l'eau";;;;;3:58;01/08/2015;30/08/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;Humeur;"La poche";32;;;;;6:04;01/08/2015;30/08/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Introducing a guy in light";Life;"A guy in light";;;;;4:59;01/08/2015;30/08/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Ma vision des choses";"Aie aie aie";Abde;;;;;3:25;01/08/2015;30/08/2015;FR;2;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Ma vision des choses";"Releve la tete";Abde;;;;;4:19;01/08/2015;30/08/2015;FR;3;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Ma vision des choses";Assez;Abde;;;;;2:42;01/08/2015;30/08/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Ma vision des choses";"Des millions";Abde;;;;;5:19;01/08/2015;30/08/2015;FR;3;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Ma vision des choses";"Reveille toi";Abde;;;;;3:02;01/08/2015;30/08/2015;FR;2;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Ma vision des choses";"Big probleme";Abde;;;;;3:53;01/08/2015;30/08/2015;FR;3;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Ma vision des choses";Mama;Abde;;;;;3:33;01/08/2015;30/08/2015;FR;3;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Ma vision des choses";"C'est chaud";Abde;;;;;3:28;01/08/2015;30/08/2015;FR;3;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Ma vision des choses";"Aux armes";Abde;;;;;2:33;01/08/2015;30/08/2015;FR;3;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Ma vision des choses";International;Abde;;;;;3:50;01/08/2015;30/08/2015;FR;3;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Ma vision des choses";"Enfants soldats";Abde;;;;;3:28;01/08/2015;30/08/2015;FR;3;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Ma vision des choses";"Afrika man";Abde;;;;;3:04;01/08/2015;30/08/2015;FR;3;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Ma vision des choses";Hypocrite;Abde;;;;;3:33;01/08/2015;30/08/2015;FR;6;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"A pack of lies";"A pack of lies";Alkalys;;;;;10:26;01/08/2015;30/08/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"A pack of lies";"Inferno black clouds";Alkalys;;;;;4:54;01/08/2015;30/08/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Va Cours Vole & Crève";"Le vent se leve";Amara;;;;;4:27;01/08/2015;30/08/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Aminima (Demo)";"Track 1";Aminima;;;;;3:11;01/08/2015;30/08/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Drôle d'idée";Elodie;Aminima;;;;;3:47;01/08/2015;30/08/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"My World";"This Girl";Anton;;;;;3:38;01/08/2015;30/08/2015;FR;4;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;Encore;Carla;Astonia;;;;;4:01;01/08/2015;30/08/2015;FR;2;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;Encore;"Au coeur du systeme";Astonia;;;;;4:56;01/08/2015;30/08/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Le bal des masques";Aujourd'hui;Astonia;;;;;4:18;01/08/2015;30/08/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Le bal des masques";Phenix;Astonia;;;;;5:11;01/08/2015;30/08/2015;FR;2;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;Horizons;"Mon coeur d'oiseau";"Aude Rose";;;;;2:13;01/08/2015;30/08/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;Horizons;"Over the town";"Aude Rose";;;;;2:23;01/08/2015;30/08/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;Horizons;Crépuscule;"Aude Rose";;;;;2:04;01/08/2015;30/08/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;Horizons;"L'amour naissant";"Aude Rose";;;;;2:44;01/08/2015;30/08/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;Horizons;"Le dalhia noir";"Aude Rose";;;;;3:43;01/08/2015;30/08/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;Analog;Liars;AudioFILM;;;;;3:36;01/08/2015;30/08/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"D-mo 2";Addio;"Battan L'Otto";;;;;3:37;01/08/2015;30/08/2015;FR;2;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;Singolo;"Tammurriata Nera";"Battan L'Otto";;;;;3:42;01/08/2015;30/08/2015;FR;4;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"D-mo 2";"So Stato a Lavora";"Battan L'Otto";;;;;4:00;01/08/2015;30/08/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;Singolo;Coltellate;"Battan L'Otto";;;;;4:05;01/08/2015;30/08/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"D-mo 2";"Bandiera Rossa";"Battan L'Otto";;;;;4:11;01/08/2015;30/08/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"D-mo 2";Gorizia;"Battan L'Otto";;;;;3:26;01/08/2015;30/08/2015;FR;2;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Cent Nuits";Welcome;"Black Maria";;;;;2:46;01/08/2015;30/08/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Les traces";Korga;"Black Maria";;;;;2:42;01/08/2015;30/08/2015;FR;5;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Poison vert";Sadim;"Black Maria";;;;;2:36;01/08/2015;30/08/2015;FR;11;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Cent Nuits";Heroes;"Black Maria";;;;;3:25;01/08/2015;30/08/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Poison vert";Monna;"Black Maria";;;;;3:04;01/08/2015;30/08/2015;FR;2;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Cent Nuits";"Cent nuits";"Black Maria";;;;;3:29;01/08/2015;30/08/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Les traces";"Finir à genoux";"Black Maria";;;;;4:00;01/08/2015;30/08/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Poison vert";"Deep Angel";"Black Maria";;;;;3:01;01/08/2015;30/08/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Cent Nuits";Opium;"Black Maria";;;;;3:19;01/08/2015;30/08/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Les traces";"J'ai vu";"Black Maria";;;;;6:01;01/08/2015;30/08/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Cent Nuits";"Santa Maria";"Black Maria";;;;;2:54;01/08/2015;30/08/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Les traces";Mescaline;"Black Maria";;;;;4:09;01/08/2015;30/08/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Cent Nuits";"Pura Vida";"Black Maria";;;;;4:00;01/08/2015;30/08/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Poison vert";"Maassa Et L'Infini";"Black Maria";;;;;4:16;01/08/2015;30/08/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Cent Nuits";"Nos tangos";"Black Maria";;;;;3:29;01/08/2015;30/08/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Poison vert";"Courir Le Long Des Terres Mortes";"Black Maria";;;;;2:27;01/08/2015;30/08/2015;FR;4;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Cent Nuits";Diego;"Black Maria";;;;;3:06;01/08/2015;30/08/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Poison vert";"Prove My Love";"Black Maria";;;;;3:19;01/08/2015;30/08/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Cent Nuits";"Fire in the city";"Black Maria";;;;;3:31;01/08/2015;30/08/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Poison vert";Maassa;"Black Maria";;;;;2:14;01/08/2015;30/08/2015;FR;3;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Cent Nuits";Exploser;"Black Maria";;;;;2:37;01/08/2015;30/08/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Black Maria";"Dans le coeur de la poussière";"Black Maria";;;;;4:02;01/08/2015;30/08/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Les traces";"Les sentiers de l'envers";"Black Maria";;;;;3:30;01/08/2015;30/08/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Poison vert";Animals;"Black Maria";;;;;3:49;01/08/2015;30/08/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Cent Nuits";"L'écran géant";"Black Maria";;;;;3:34;01/08/2015;30/08/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Les traces";"Voice of mary";"Black Maria";;;;;6:04;01/08/2015;30/08/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Cent Nuits";"Fils des éclairs";"Black Maria";;;;;4:54;01/08/2015;30/08/2015;FR;2;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Poison vert";Lazer;"Black Maria";;;;;3:20;01/08/2015;30/08/2015;FR;4;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Chansons vaches";Papy;Boule;;;;;3:23;01/08/2015;30/08/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Petit-fils de Fantômas";"Petit-fils de Fantômas";Boule;;;;;3:57;01/08/2015;30/08/2015;FR;4;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Petit-fils de Fantômas";"Cervelle de moineau";Boule;;;;;4:14;01/08/2015;30/08/2015;FR;2;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Chansons vaches";"Le Préavis";Boule;;;;;3:28;01/08/2015;30/08/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Petit-fils de Fantômas";"Agoraphobe et nyctalope";Boule;;;;;4:05;01/08/2015;30/08/2015;FR;2;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Je suis artiste";"la reforme";Boule;;;;;4:02;01/08/2015;30/08/2015;FR;2;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Chansons vaches";"Quand je vous croise";Boule;;;;;2:12;01/08/2015;30/08/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Petit-fils de Fantômas";Dannie;Boule;;;;;4:23;01/08/2015;30/08/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Chansons vaches";"La Vache";Boule;;;;;3:40;01/08/2015;30/08/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Petit-fils de Fantômas";"Le clou";Boule;;;;;3:52;01/08/2015;30/08/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Je suis artiste";"le poisson";Boule;;;;;4:35;01/08/2015;30/08/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Chansons vaches";"Le Blé";Boule;;;;;0:57;01/08/2015;30/08/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Petit-fils de Fantômas";"Vélocipède interstellaire";Boule;;;;;4:02;01/08/2015;30/08/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Chansons vaches";"Le Cochon";Boule;;;;;3:23;01/08/2015;30/08/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Petit-fils de Fantômas";"Le biffin";Boule;;;;;3:13;01/08/2015;30/08/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Chansons vaches";"Peter Pan";Boule;;;;;3:23;01/08/2015;30/08/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Chansons vaches";"Triffouilly les Oies";Boule;;;;;3:01;01/08/2015;30/08/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Petit-fils de Fantômas";"Penser à voir un psychologue";Boule;;;;;2:51;01/08/2015;30/08/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Chansons vaches";"Le Chat";Boule;;;;;4:30;01/08/2015;30/08/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Petit-fils de Fantômas";"Carte postale à ma cousine qui habite au bord de la méditerranée";Boule;;;;;6:14;01/08/2015;30/08/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Chansons vaches";"Quel sot métier";Boule;;;;;3:00;01/08/2015;30/08/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;Doussance;"Tout reste à faire";"Calou Palou";;;;;4:14;01/08/2015;30/08/2015;FR;4;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Flower of Zouk";"In the line of age";"Camart Jazz";;;;;5:44;01/08/2015;30/08/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Skywalker\'s dream";"It's a good day";"Candy Lies";;;;;3:22;01/08/2015;30/08/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;Chris2bar;"Je stocke";"Christophe de Barallon";;;;;4:39;01/08/2015;30/08/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"The orphans parade";"Poison dream";"City Kids";;;;;3:08;01/08/2015;30/08/2015;FR;9;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"The name of the game";"State control";"City Kids";;;;;3:49;01/08/2015;30/08/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"The orphans parade";"The real thing";"City Kids";;;;;3:49;01/08/2015;30/08/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"The real thing";"Only question";"City Kids";;;;;2:57;01/08/2015;30/08/2015;FR;2;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;Live;"For Kids";"City Kids";;;;;3:11;01/08/2015;30/08/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"The orphans parade";Rebels;"City Kids";;;;;4:39;01/08/2015;30/08/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"The name of the game";Speeding;"City Kids";;;;;4:39;01/08/2015;30/08/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"The orphans parade";"Shell world";"City Kids";;;;;3:25;01/08/2015;30/08/2015;FR;6;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Third Life";"Friends in heaven";"City Kids";;;;;3:25;01/08/2015;30/08/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"The orphans parade";Nightfall;"City Kids";;;;;3:47;01/08/2015;30/08/2015;FR;2;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"The orphans parade";Liar;"City Kids";;;;;4:14;01/08/2015;30/08/2015;FR;4;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"The orphans parade";"Promised land";"City Kids";;;;;3:57;01/08/2015;30/08/2015;FR;9;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;Live;"Poison dream";"City Kids";;;;;3:05;01/08/2015;30/08/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"The orphans parade";S.H.infinity;"City Kids";;;;;3:28;01/08/2015;30/08/2015;FR;3;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;Live;"Promised land";"City Kids";;;;;4:39;01/08/2015;30/08/2015;FR;3;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"The orphans parade";"All fools day";"City Kids";;;;;6:04;01/08/2015;30/08/2015;FR;6;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;Live;"Killing anyone";"City Kids";;;;;3:33;01/08/2015;30/08/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
