"CODE DECLARANT";"CODE DIFFUSEUR";GRID;"CODE EAN 13";"CODE UPC";"IDENTIFIANT PRODUIT DECLARANT";"TYPE SERVICE";"TYPE PRODUIT";"TITRE PRODUIT";"TITRE OEUVRE";"NOM COMPOSITEUR";"NOM AUTEUR";"NOM EDITEUR";"NOM INTERPRETE";LABEL;"DUREE OEUVRE";"DATE DEBUT PERIODE";"DATE FIN PERIODE";"TERRITOIRE VENTE";QUANTITE;"NOM DE L'OFFRE COMMERCIALE";"TYPE MODELE COMMERCIAL";"TYPE CANAL DISTRIBUTION";"TYPE UTILISATION";"PRIX UNITAIRE HT";DEVISE

"  ";"
					";"
					";"
					";"
					";"
					";"
					MUSI";"
					SINGLE";"
					17 seconds left";"
					La main de Dieu";"
					17 seconds left";"
					";"
					";"
					";"
					";"
					3:58";"
					2006-01-01";"
					1960-01-01";"
					FR";"
					1";"
					";"
					FREE";"
					INTERNET";"
					ON_DEM_STRE";"
					0";"
					EURO"
"  ";"
					";"
					";"
					";"
					";"
					";"
					MUSI";"
					SINGLE";"
					Introducing a guy in light";"
					Life";"
					A guy in light";"
					";"
					";"
					";"
					";"
					4:58";"
					2006-01-01";"
					1960-01-01";"
					FR";"
					3";"
					";"
					FREE";"
					INTERNET";"
					ON_DEM_STRE";"
					0";"
					EURO"
"  ";"
					";"
					";"
					";"
					";"
					";"
					MUSI";"
					SINGLE";"
					Introducing a guy in light";"
					Dandelions";"
					A guy in light";"
					";"
					";"
					";"
					";"
					5:04";"
					2006-01-01";"
					1960-01-01";"
					FR";"
					7";"
					";"
					FREE";"
					INTERNET";"
					ON_DEM_STRE";"
					0";"
					EURO"
"  ";"
					";"
					";"
					";"
					";"
					";"
					MUSI";"
					SINGLE";"
					Introducing a guy in light";"
					Wait for the shiny day";"
					A guy in light";"
					";"
					";"
					";"
					";"
					4:31";"
					2006-01-01";"
					1960-01-01";"
					FR";"
					2";"
					";"
					FREE";"
					INTERNET";"
					ON_DEM_STRE";"
					0";"
					EURO"
"  ";"
					";"
					";"
					";"
					";"
					";"
					MUSI";"
					SINGLE";"
					Ma vision des choses";"
					Aie aie aie";"
					Abde";"
					";"
					";"
					";"
					";"
					3:46";"
					2006-01-01";"
					2011-01-01";"
					FR";"
					2";"
					";"
					FREE";"
					INTERNET";"
					ON_DEM_STRE";"
					0";"
					EURO"
"  ";"
					";"
					";"
					";"
					";"
					";"
					MUSI";"
					SINGLE";"
					Ma vision des choses";"
					Releve la tete";"
					Abde";"
					";"
					";"
					";"
					";"
					4:41";"
					2006-01-01";"
					2011-01-01";"
					FR";"
					1";"
					";"
					FREE";"
					INTERNET";"
					ON_DEM_STRE";"
					0";"
					EURO"
"  ";"
					";"
					";"
					";"
					";"
					";"
					MUSI";"
					SINGLE";"
					Power to the People EP";"
					Ni pour, ni contre, bien au contraire (prod. Djar One)";"
					Acoosmik";"
					";"
					";"
					";"
					";"
					4:37";"
					2010-01-01";"
					1970-01-01";"
					FR";"
					2";"
					";"
					FREE";"
					INTERNET";"
					ON_DEM_STRE";"
					0";"
					EURO"
"  ";"
					";"
					";"
					";"
					";"
					";"
					MUSI";"
					SINGLE";"
					Power to the People EP";"
					Du Travail de Pro (prod. Sample Sickness)";"
					Acoosmik";"
					";"
					";"
					";"
					";"
					3:59";"
					2010-01-01";"
					1970-01-01";"
					FR";"
					1";"
					";"
					FREE";"
					INTERNET";"
					ON_DEM_STRE";"
					0";"
					EURO"
"  ";"
					";"
					";"
					";"
					";"
					";"
					MUSI";"
					SINGLE";"
					Streets of London";"
					Streets of London";"
					ADN";"
					";"
					";"
					";"
					";"
					2:43";"
					1960-01-01";"
					1960-01-01";"
					FR";"
					4";"
					";"
					FREE";"
					INTERNET";"
					ON_DEM_STRE";"
					0";"
					EURO"
"  ";"
					";"
					";"
					";"
					";"
					";"
					MUSI";"
					SINGLE";"
					Streets of London";"
					I will come";"
					ADN";"
					";"
					";"
					";"
					";"
					4:22";"
					1960-01-01";"
					1960-01-01";"
					FR";"
					5";"
					";"
					FREE";"
					INTERNET";"
					ON_DEM_STRE";"
					0";"
					EURO"
"  ";"
					";"
					";"
					";"
					";"
					";"
					MUSI";"
					SINGLE";"
					Streets of London";"
					I wanna dream";"
					ADN";"
					";"
					";"
					";"
					";"
					4:08";"
					1960-01-01";"
					1960-01-01";"
					FR";"
					1";"
					";"
					FREE";"
					INTERNET";"
					ON_DEM_STRE";"
					0";"
					EURO"
"  ";"
					";"
					";"
					";"
					";"
					";"
					MUSI";"
					SINGLE";"
					Mouvant";"
					Dans les rues de Londres";"
					ADN";"
					";"
					";"
					";"
					";"
					2:21";"
					1960-01-01";"
					1960-01-01";"
					FR";"
					1";"
					";"
					FREE";"
					INTERNET";"
					ON_DEM_STRE";"
					0";"
					EURO"
"  ";"
					";"
					";"
					";"
					";"
					";"
					MUSI";"
					SINGLE";"
					Mouvant";"
					Laisse moi t'aimer";"
					ADN";"
					";"
					";"
					";"
					";"
					4:08";"
					1960-01-01";"
					1960-01-01";"
					FR";"
					1";"
					";"
					FREE";"
					INTERNET";"
					ON_DEM_STRE";"
					0";"
					EURO"
"  ";"
					";"
					";"
					";"
					";"
					";"
					MUSI";"
					SINGLE";"
					Macadam(s)";"
					Je suis";"
					Adrien Marbek";"
					";"
					";"
					";"
					";"
					2:42";"
					1960-01-01";"
					1960-01-01";"
					FR";"
					1";"
					";"
					FREE";"
					INTERNET";"
					ON_DEM_STRE";"
					0";"
					EURO"
"  ";"
					";"
					";"
					";"
					";"
					";"
					MUSI";"
					SINGLE";"
					Macadam(s)";"
					D'accord d'accord";"
					Adrien Marbek";"
					";"
					";"
					";"
					";"
					4:07";"
					1960-01-01";"
					1960-01-01";"
					FR";"
					1";"
					";"
					FREE";"
					INTERNET";"
					ON_DEM_STRE";"
					0";"
					EURO"
"  ";"
					";"
					";"
					";"
					";"
					";"
					MUSI";"
					SINGLE";"
					Morally Wrong [Split]";"
					Well Of Happiness";"
					Agathocles et Violent Noise Attack";"
					";"
					";"
					";"
					";"
					1:13";"
					1970-01-01";"
					1970-01-01";"
					FR";"
					1";"
					";"
					FREE";"
					INTERNET";"
					ON_DEM_STRE";"
					0";"
					EURO"
"  ";"
					";"
					";"
					";"
					";"
					";"
					MUSI";"
					SINGLE";"
					Agorapolis";"
					La famille";"
					Agorapolis";"
					";"
					";"
					";"
					";"
					3:18";"
					2000-01-01";"
					2000-01-01";"
					FR";"
					1";"
					";"
					FREE";"
					INTERNET";"
					ON_DEM_STRE";"
					0";"
					EURO"
"  ";"
					";"
					";"
					";"
					";"
					";"
					MUSI";"
					SINGLE";"
					Vivre et Pourtant";"
					Vivre et pourtant";"
					Alias";"
					";"
					";"
					";"
					";"
					3:06";"
					2000-01-01";"
					1960-01-01";"
					FR";"
					1";"
					";"
					FREE";"
					INTERNET";"
					ON_DEM_STRE";"
					0";"
					EURO"
"  ";"
					";"
					";"
					";"
					";"
					";"
					MUSI";"
					SINGLE";"
					Alias";"
					L'enfer, c'est moi";"
					Alias";"
					";"
					";"
					";"
					";"
					3:31";"
					2000-01-01";"
					1960-01-01";"
					FR";"
					2";"
					";"
					FREE";"
					INTERNET";"
					ON_DEM_STRE";"
					0";"
					EURO"
"  ";"
					";"
					";"
					";"
					";"
					";"
					MUSI";"
					SINGLE";"
					Alias";"
					Le vent peut souffler";"
					Alias";"
					";"
					";"
					";"
					";"
					3:43";"
					2000-01-01";"
					1960-01-01";"
					FR";"
					2";"
					";"
					FREE";"
					INTERNET";"
					ON_DEM_STRE";"
					0";"
					EURO"
