"CODE DECLARANT";"CODE DIFFUSEUR";GRID;"CODE EAN 13";"CODE UPC";"IDENTIFIANT PRODUIT DECLARANT";"TYPE SERVICE";"TYPE PRODUIT";"TITRE PRODUIT";"TITRE OEUVRE";"NOM COMPOSITEUR";"NOM AUTEUR";"NOM EDITEUR";"NOM INTERPRETE";LABEL;"DUREE OEUVRE";"DATE DEBUT PERIODE";"DATE FIN PERIODE";"TERRITOIRE VENTE";QUANTITE;"NOM DE L'OFFRE COMMERCIALE";"TYPE MODELE COMMERCIAL";"TYPE CANAL DISTRIBUTION";"TYPE UTILISATION";"PRIX UNITAIRE HT";DEVISE

TESTONLINE;"	TOL";;;;;MUSI;SINGLE;10'Kei;Mercatory;10'Kei;;;;;5:23;01/02/2014;30/02/2014;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;"	TOL";;;;;MUSI;SINGLE;10'Kei;Measmus;10'Kei;;;;;8:55;01/02/2014;30/02/2014;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;"	TOL";;;;;MUSI;SINGLE;10'Kei;Aeshyxius;10'Kei;;;;;4:01;01/02/2014;30/02/2014;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;"	TOL";;;;;MUSI;SINGLE;"Cent Vingt Deux";"Do that shit";"122 Cobayes";;;;;3:15;01/02/2014;30/02/2014;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;"	TOL";;;;;MUSI;SINGLE;"17 seconds left";Cumshot;"17 seconds left";;;;;4:07;01/02/2014;30/02/2014;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;"	TOL";;;;;MUSI;SINGLE;"Mais qui a jeté 20 centimes dans l\'eau?";"500 euros";"20 centimes dans l\'eau";;;;;3:46;01/02/2014;30/02/2014;FR;2;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;"	TOL";;;;;MUSI;SINGLE;"Mais qui a jeté 20 centimes dans l\'eau?";"La fable du bourdon et du cafard";"20 centimes dans l\'eau";;;;;3:18;01/02/2014;30/02/2014;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;"	TOL";;;;;MUSI;SINGLE;Beating;Beating;2D;;;;;3:43;01/02/2014;30/02/2014;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;"	TOL";;;;;MUSI;SINGLE;Humeur;"Lydie Poisson";32;;;;;4:42;01/02/2014;30/02/2014;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;"	TOL";;;;;MUSI;SINGLE;"39th and Norton";"In need";"39th and Norton";;;;;3:58;01/02/2014;30/02/2014;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;"	TOL";;;;;MUSI;SINGLE;"Trop Fonky";Introduction;Acoosmik;;;;;2:32;01/02/2014;30/02/2014;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;"	TOL";;;;;MUSI;SINGLE;"Trop Fonky";"Hip Hop Cirkus";Acoosmik;;;;;3:31;01/02/2014;30/02/2014;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;"	TOL";;;;;MUSI;SINGLE;"Trop Fonky";Définition;Acoosmik;;;;;3:27;01/02/2014;30/02/2014;FR;2;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;"	TOL";;;;;MUSI;SINGLE;"Trop Fonky";"Pas de thune";Acoosmik;;;;;3:54;01/02/2014;30/02/2014;FR;2;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;"	TOL";;;;;MUSI;SINGLE;"Trop Fonky";"Boulot, bistrot, dodo";Acoosmik;;;;;3:34;01/02/2014;30/02/2014;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;"	TOL";;;;;MUSI;SINGLE;"Trop Fonky";"C'est signé";Acoosmik;;;;;3:26;01/02/2014;30/02/2014;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;"	TOL";;;;;MUSI;SINGLE;"Trop Fonky";"LH police story";Acoosmik;;;;;3:53;01/02/2014;30/02/2014;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;"	TOL";;;;;MUSI;SINGLE;"Trop Fonky";"Everything's gonna be allright";Acoosmik;;;;;3:38;01/02/2014;30/02/2014;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;"	TOL";;;;;MUSI;SINGLE;"Trop Fonky";"A la grève!";Acoosmik;;;;;4:00;01/02/2014;30/02/2014;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;"	TOL";;;;;MUSI;SINGLE;"Trop Fonky";"Je bois";Acoosmik;;;;;4:20;01/02/2014;30/02/2014;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;"	TOL";;;;;MUSI;SINGLE;"Les Rimailleurs vs Acoosmik";"Barre de Vie (prod. by Djar One)";Acoosmik;;;;;3:42;01/02/2014;30/02/2014;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;"	TOL";;;;;MUSI;SINGLE;"Trop Fonky";"Trop fonky";Acoosmik;;;;;3:14;01/02/2014;30/02/2014;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;"	TOL";;;;;MUSI;SINGLE;"Trop Fonky";"Le déluge";Acoosmik;;;;;4:03;01/02/2014;30/02/2014;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;"	TOL";;;;;MUSI;SINGLE;"Trop Fonky";"All's cool";Acoosmik;;;;;3:22;01/02/2014;30/02/2014;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;"	TOL";;;;;MUSI;SINGLE;"Trop Fonky";"Sonne l'alarme!";Acoosmik;;;;;3:43;01/02/2014;30/02/2014;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;"	TOL";;;;;MUSI;SINGLE;"Trop Fonky";"Goodbye good time";Acoosmik;;;;;5:21;01/02/2014;30/02/2014;FR;2;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;"	TOL";;;;;MUSI;SINGLE;"Mille fois";"Le tour";Acoustic;;;;;3:36;01/02/2014;30/02/2014;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;"	TOL";;;;;MUSI;SINGLE;Macadam(s);"Je suis";"Adrien Marbek";;;;;2:42;01/02/2014;30/02/2014;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;"	TOL";;;;;MUSI;SINGLE;"Et si...";"La colombe";Alexandre;;;;;4:23;01/02/2014;30/02/2014;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;"	TOL";;;;;MUSI;SINGLE;"Et si...";"Les 4 saisons";Alexandre;;;;;4:08;01/02/2014;30/02/2014;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;"	TOL";;;;;MUSI;SINGLE;"Et si...";"La femme de ma vie";Alexandre;;;;;3:37;01/02/2014;30/02/2014;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;"	TOL";;;;;MUSI;SINGLE;"Et si...";"c'est la vie";Alexandre;;;;;4:39;01/02/2014;30/02/2014;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;"	TOL";;;;;MUSI;SINGLE;"Allons-y tant qu'c'est chaud";"Les gars du don";"Allons-y tant qu'c'est chaud";;;;;4:50;01/02/2014;30/02/2014;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;"	TOL";;;;;MUSI;SINGLE;Aminima;Elle;Aminima;;;;;3:12;01/02/2014;30/02/2014;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;"	TOL";;;;;MUSI;SINGLE;"Ces roses flotteront sur l'océan";Reflections;Aña;;;;;3:30;01/02/2014;30/02/2014;FR;2;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;"	TOL";;;;;MUSI;SINGLE;"Ces roses flotteront sur l'océan";"La dernière lumière rouge";Aña;;;;;3:38;01/02/2014;30/02/2014;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;"	TOL";;;;;MUSI;SINGLE;"Ces roses flotteront sur l'océan";West;Aña;;;;;2:41;01/02/2014;30/02/2014;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;"	TOL";;;;;MUSI;SINGLE;"Ces roses flotteront sur l'océan";"The shadow of the doubt";Aña;;;;;3:17;01/02/2014;30/02/2014;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;"	TOL";;;;;MUSI;SINGLE;"Ces roses flotteront sur l'océan";Mother;Aña;;;;;4:16;01/02/2014;30/02/2014;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;"	TOL";;;;;MUSI;SINGLE;"Ces roses flotteront sur l'océan";"I see";Aña;;;;;3:44;01/02/2014;30/02/2014;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;"	TOL";;;;;MUSI;SINGLE;"Ces roses flotteront sur l'océan";"A lonely man";Aña;;;;;8:03;01/02/2014;30/02/2014;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;"	TOL";;;;;MUSI;SINGLE;"Ces roses flotteront sur l'océan";"Une étoile scintille";Aña;;;;;2:27;01/02/2014;30/02/2014;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;"	TOL";;;;;MUSI;SINGLE;"Ces roses flotteront sur l'océan";"Ces roses flotteront sur l'océan";Aña;;;;;3:29;01/02/2014;30/02/2014;FR;5;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;"	TOL";;;;;MUSI;SINGLE;Split;"A lifetime roadtrippin' through the valley of death";"As we bleed";;;;;6:42;01/02/2014;30/02/2014;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
