"CODE DECLARANT";"CODE DIFFUSEUR";GRID;"CODE EAN 13";"CODE UPC";"IDENTIFIANT PRODUIT DECLARANT";"TYPE SERVICE";"TYPE PRODUIT";"TITRE PRODUIT";"TITRE OEUVRE";"NOM COMPOSITEUR";"NOM AUTEUR";"NOM EDITEUR";"NOM INTERPRETE";LABEL;"DUREE OEUVRE";"DATE DEBUT PERIODE";"DATE FIN PERIODE";"TERRITOIRE VENTE";QUANTITE;"NOM DE L'OFFRE COMMERCIALE";"TYPE MODELE COMMERCIAL";"TYPE CANAL DISTRIBUTION";"TYPE UTILISATION";"PRIX UNITAIRE HT";DEVISE

TESTONLINE;TOL;;;;;MUSI;SINGLE;"Impression sur scène";"Tous les chemins conduisent à la mer";"1 Costard pour 2";;;;;3:01;01/06/2015;30/06/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Impression sur scène";"Pourvu qu'on ait l'ivresse";"1 Costard pour 2";;;;;2:59;01/06/2015;30/06/2015;FR;2;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Mais qui a jeté 20 centimes dans l\'eau?";"500 euros";"20 centimes dans l'eau";;;;;3:46;01/06/2015;30/06/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Ma vision des choses";"Aux armes";Abde;;;;;2:33;01/06/2015;30/06/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Trop Fonky";"Boulot, bistrot, dodo";Acoosmik;;;;;3:34;01/06/2015;30/06/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Trop Fonky";"C'est signé";Acoosmik;;;;;3:26;01/06/2015;30/06/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Precious Times";"Precious times";"Adrian Even's";;;;;4:07;01/06/2015;30/06/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Precious Times";"Simple man";"Adrian Even's";;;;;4:09;01/06/2015;30/06/2015;FR;2;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Precious Times";"My prayer";"Adrian Even's";;;;;3:16;01/06/2015;30/06/2015;FR;2;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Precious Times";"Tell me";"Adrian Even's";;;;;3:07;01/06/2015;30/06/2015;FR;2;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Precious Times";"Seven days";"Adrian Even's";;;;;3:51;01/06/2015;30/06/2015;FR;2;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Precious Times";"Never be a shade";"Adrian Even's";;;;;3:46;01/06/2015;30/06/2015;FR;2;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Precious Times";"Show me your way";"Adrian Even's";;;;;3:09;01/06/2015;30/06/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Precious Times";Angel;"Adrian Even's";;;;;3:00;01/06/2015;30/06/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Precious Times";"Little bird";"Adrian Even's";;;;;4:31;01/06/2015;30/06/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Precious Times";"These roads";"Adrian Even's";;;;;3:26;01/06/2015;30/06/2015;FR;15;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"Libres tangos";"Histoire de si";"Alain Chapelain";;;;;4:54;01/06/2015;30/06/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;"L'ame bleue";"La Nostalgique";"Alain Chapelain";;;;;2:43;01/06/2015;30/06/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;Alias;Perdant;Alias;;;;;2:44;01/06/2015;30/06/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
TESTONLINE;TOL;;;;;MUSI;SINGLE;Alias;"L'enfer, c'est moi";Alias;;;;;3:31;01/06/2015;30/06/2015;FR;1;;FREE;INTERNET;ON_DEM_STRE;0;EURO
